cohort_month,month_number,users,retention_rate
2020-11,0,7,100.0
2020-11,0,35,500.0
2020-11,0,27,385.71
2020-11,0,15,214.29
2020-11,0,2365,33785.71
2020-11,0,18,257.14
2020-11,0,15,214.29
2020-11,0,7,100.0
2020-11,0,13,185.71
2020-11,0,50,714.29
2020-11,0,14,200.0
2020-11,0,21,300.0
2020-11,0,45,642.86
2020-11,0,9,128.57
2020-11,0,65,928.57
2020-11,0,128,1828.57
2020-11,0,15,214.29
2020-11,0,9,128.57
2020-11,0,20,285.71
2020-11,0,23,328.57
2020-11,0,6,85.71
2020-11,0,9,128.57
2020-11,0,12,171.43
2020-11,0,8,114.29
2020-11,0,8,114.29
2020-11,0,7,100.0
2020-11,0,8,114.29
2020-11,0,5,71.43
2020-11,0,11,157.14
2020-11,0,3,42.86
2020-11,0,24,100.0
2020-11,0,58,241.67
2020-11,0,15,62.5
2020-11,0,50,208.33
2020-11,0,44,183.33
2020-11,0,13,54.17
2020-11,0,25,104.17
2020-11,0,31,129.17
2020-11,0,25,104.17
2020-11,0,98,408.33
2020-11,0,22,91.67
2020-11,0,37,154.17
2020-11,0,8,33.33
2020-11,0,90,375.0
2020-11,0,26,108.33
2020-11,0,36,150.0
2020-11,0,241,1004.17
2020-11,0,3134,13058.33
2020-11,0,30,125.0
2020-11,0,32,133.33
2020-11,0,10,41.67
2020-11,0,13,54.17
2020-11,0,12,50.0
2020-11,0,18,75.0
2020-11,0,44,183.33
2020-11,0,30,125.0
2020-11,0,7,29.17
2020-11,0,8,33.33
2020-11,0,5,20.83
2020-11,0,88,100.0
2020-11,0,62,70.45
2020-11,0,46,52.27
2020-11,0,25,28.41
2020-11,0,29,32.95
2020-11,0,36,40.91
2020-11,0,272,309.09
2020-11,0,28,31.82
2020-11,0,43,48.86
2020-11,0,113,128.41
2020-11,0,29,32.95
2020-11,0,30,34.09
2020-11,0,4342,4934.09
2020-11,0,8,9.09
2020-11,0,35,39.77
2020-11,0,36,40.91
2020-11,0,17,19.32
2020-11,0,10,11.36
2020-11,0,12,13.64
2020-11,0,45,51.14
2020-11,0,21,23.86
2020-11,0,17,19.32
2020-11,0,13,14.77
2020-11,0,33,37.5
2020-11,0,7,7.95
2020-11,0,20,22.73
2020-11,0,10,11.36
2020-11,0,6,6.82
2020-11,0,19,100.0
2020-11,0,91,478.95
2020-11,0,17,89.47
2020-11,0,40,210.53
2020-11,0,51,268.42
2020-11,0,56,294.74
2020-11,0,10,52.63
2020-11,0,27,142.11
2020-11,0,22,115.79
2020-11,0,3314,17442.11
2020-11,0,25,131.58
2020-11,0,49,257.89
2020-11,0,199,1047.37
2020-11,0,23,121.05
2020-11,0,32,168.42
2020-11,0,14,73.68
2020-11,0,26,136.84
2020-11,0,11,57.89
2020-11,0,14,73.68
2020-11,0,35,184.21
2020-11,0,31,163.16
2020-11,0,25,131.58
2020-11,0,6,31.58
2020-11,0,15,78.95
2020-11,0,31,163.16
2020-11,0,6,31.58
2020-11,0,6,31.58
2020-11,0,19,100.0
2020-11,0,178,936.84
2020-11,0,10,52.63
2020-11,0,13,68.42
2020-11,0,37,194.74
2020-11,0,60,315.79
2020-11,0,46,242.11
2020-11,0,13,68.42
2020-11,0,17,89.47
2020-11,0,24,126.32
2020-11,0,17,89.47
2020-11,0,50,263.16
2020-11,0,5,26.32
2020-11,0,2825,14868.42
2020-11,0,23,121.05
2020-11,0,25,131.58
2020-11,0,13,68.42
2020-11,0,21,110.53
2020-11,0,26,136.84
2020-11,0,13,68.42
2020-11,0,12,63.16
2020-11,0,16,84.21
2020-11,0,29,152.63
2020-11,0,48,252.63
2020-11,0,12,63.16
2020-11,0,19,100.0
2020-11,0,11,100.0
2020-11,0,2363,21481.82
2020-11,0,3,27.27
2020-11,0,11,100.0
2020-11,0,117,1063.64
2020-11,0,55,500.0
2020-11,0,67,609.09
2020-11,0,20,181.82
2020-11,0,24,218.18
2020-11,0,18,163.64
2020-11,0,35,318.18
2020-11,0,20,181.82
2020-11,0,20,181.82
2020-11,0,32,290.91
2020-11,0,16,145.45
2020-11,0,12,109.09
2020-11,0,11,100.0
2020-11,0,49,445.45
2020-11,0,32,290.91
2020-11,0,14,127.27
2020-11,0,12,109.09
2020-11,0,5,45.45
2020-11,0,9,81.82
2020-11,0,17,154.55
2020-11,0,5,45.45
2020-11,0,3,100.0
